ENV,Clone,REDROT
KAL16-322,QA09-1589,-1.53115503959074
KAL16-322,QA10-1130,3.6186774736583
KAL16-322,QC03-6066,0.704783694700314
KAL16-322,QC03-743,-0.860373419303424
KAL16-322,QC04-1420,-1.53115503959074
KAL16-322,QC04-6104,5.84744278356974
KAL16-322,QC04-874,-1.53115503959074
KAL16-322,QC04-893,0.0340020744129976
KAL16-322,QC05-316,-1.32643238558239
KAL16-322,QK10-2123,-0.860373419303424
KAL16-322,QK13-1094,1.37556531498763
KAL16-322,QK13-1100,-1.53115503959074
KAL16-322,QK13-1110,5.17666116328242
KAL16-322,QK13-1112,-0.860373419303424
KAL16-322,QK13-1114,-1.53115503959074
KAL16-322,QK13-1115,-1.53115503959074
KAL16-322,QK13-1121,-0.860373419303424
KAL16-322,QK13-1133,2.26994080870405
KAL16-322,QK13-1170,-1.53115503959074
KAL16-322,QK13-1173,-1.08396729273253
KAL16-322,QK13-1181,-1.08396729273253
KAL16-322,QK13-1185,-1.53115503959074
KAL16-322,QK13-1186,-1.53115503959074
KAL16-322,QK13-1187,-1.53115503959074
KAL16-322,QK13-1192,-1.53115503959074
KAL16-322,QK13-1194,-1.53115503959074
KAL16-322,QK13-1197,-1.53115503959074
KAL16-322,QK13-1212,-1.30756116616164
KAL16-322,QK13-1222,-1.53115503959074
KAL16-322,QK13-1239,-1.53115503959074
KAL16-322,QK13-1240,-0.413185672445213
KAL16-322,QK13-1252,1.59915918841674
KAL16-322,QK13-1284,3.70909134562366
KAL16-322,QK13-1303,4.95306728985332
KAL16-322,QK13-1346,6.51822440385706
KAL16-322,QK13-1349,4.95306728985332
KAL16-322,QK13-1360,-0.860373419303424
KAL16-322,QK13-1361,-1.08396729273253
KAL16-322,QK13-1373,-0.860373419303424
KAL16-322,QK13-1378,1.59915918841674
KAL16-322,QK13-1386,4.95306728985332
KAL16-322,QK13-1396,4.95306728985332
KAL16-322,QK13-1410,0.257595947842103
KAL16-322,QK13-1412,6.07103665699885
KAL16-322,QK13-1416,0.704783694700314
KAL16-322,QK13-1418,-0.189591799016108
KAL16-322,QK13-1457,-1.53115503959074
KAL16-322,QK13-1465,-1.53115503959074
KAL16-322,QK13-1479,0.92837756812942
KAL16-322,QK13-1488,-1.53115503959074
KAL16-322,QK13-1494,-1.30756116616164
KAL16-322,QK13-1503,-1.30756116616164
KAL16-322,QK13-1531,0.92837756812942
KAL16-322,QK13-1539,0.257595947842103
KAL16-322,QK13-1547,0.257595947842103
KAL16-322,QK13-1552,-1.53115503959074
KAL16-322,QK13-1563,-1.30756116616164
KAL16-322,QK13-1569,3.83509792270779
KAL16-322,QK13-1572,4.50587954299511
KAL16-322,QK13-1577,-1.53115503959074
KAL16-322,QK13-1583,1.15197144155853
KAL16-322,QK13-1594,-1.53115503959074
KAL16-322,QK13-1612,-1.53115503959074
KAL16-322,QK13-1658,-1.30756116616164
KAL16-322,QK13-1666,-0.636779545874319
KAL16-322,QK13-1667,-1.53115503959074
KAL16-322,QK13-1668,-1.53115503959074
KAL16-322,QK13-1669,-1.08396729273253
KAL16-322,QK13-1681,-1.53115503959074
KAL16-322,QK13-1702,0.92837756812942
KAL16-322,QK13-1703,-1.53115503959074
KAL16-322,QK13-1714,-1.53115503959074
KAL16-322,QK13-1715,0.0340020744129976
KAL16-322,QK13-1722,-1.30756116616164
KAL16-322,QK13-1724,5.62384891014063
KAL16-322,QK13-1734,-0.636779545874319
KAL16-322,QK13-1740,-0.189591799016108
KAL16-322,QK13-1753,-1.30756116616164
KAL16-322,QK13-1757,-0.413185672445213
KAL16-322,QK13-1932,-1.08396729273253
KAL16-322,QK13-1934,-1.53115503959074
KAL16-322,QK13-1948,-1.30756116616164
KAL16-322,QK13-1949,-1.08396729273253
KAL16-322,QK13-1950,-0.860373419303424
KAL16-322,QK13-1974,-0.860373419303424
KAL16-322,QK13-1976,4.95306728985332
KAL16-322,QK13-1982,-0.860373419303424
KAL16-322,QK13-1986,-0.189591799016108
KAL16-322,QK13-2052,-0.636779545874319
KAL16-322,QK13-2072,0.0340020744129976
KAL16-322,QK13-2130,-1.53115503959074
KAL16-322,QK13-2164,2.04634693527495
KAL16-322,QK13-2166,-1.53115503959074
KAL16-322,QK13-2168,-1.08396729273253
KAL16-322,QK13-2169,-1.30756116616164
KAL16-322,QK13-2170,-1.53115503959074
KAL16-322,QK13-2171,-0.636779545874319
KAL16-322,QK13-2174,-1.53115503959074
KAL16-322,QK13-2176,-1.53115503959074
KAL16-322,QK13-2186,6.07103665699885
KAL16-322,QK13-2211,-0.636779545874319
KAL16-322,QK13-2247,-0.413185672445213
KAL16-322,QK13-2265,-1.08396729273253
KAL16-322,QK13-2278,-0.860373419303424
KAL16-322,QK13-2294,-1.08396729273253
KAL16-322,QN05-1778,-0.636779545874319
KAL16-322,QN07-955,-0.636779545874319
KAL16-322,QS06-8106,-1.53115503959074
KAL16-322,QS07-8200,1.82275306184584
KAL16-322,QS07-8815,-0.860373419303424
KAL16-322,QS07-9787,-1.53115503959074
KAL16-322,QS08-2113,-1.30756116616164
KAL16-322,QS08-220,-1.53115503959074
KAL16-322,QS08-401,-1.08396729273253
KAL16-322,QS08-468,5.84744278356974
KAL16-322,QS08-724,-0.636779545874319
KAL16-322,QS08-7636,-0.636779545874319
KAL16-322,QS08-8041,-1.08396729273253
KAL16-322,QS08-8460,-0.636779545874319
KAL16-322,QS08-8662,-0.636779545874319
KAL16-322,QS08-867,-1.08396729273253
KAL16-322,QS08-878,0.92837756812942
KAL16-322,QS08-8810,2.04634693527495
KAL16-322,QS08-9474,3.83509792270779
KAL16-322,QS08-984,-1.30756116616164
KAL16-322,QS10-7065,-1.30756116616164
KAL16-322,QS10-7066,2.94072242899137
KAL16-322,QS10-7087,-1.53115503959074
KAL16-322,QS10-7130,-0.189591799016108
KAL16-322,QS10-7139,0.704783694700314
KAL16-322,QS10-7173,-0.189591799016108
KAL16-322,QS10-7196,-1.53115503959074
KAL16-322,QS10-7210,2.04634693527495
KAL16-322,QS10-7253,-1.30756116616164
KAL16-322,QS10-7268,5.62384891014063
KAL16-322,QS10-7276,0.704783694700314
KAL16-322,QS10-7315,-1.08396729273253
KAL16-322,QS10-7328,-1.53115503959074
KAL16-322,QS10-7333,-1.30756116616164
KAL16-322,QS10-7336,-1.53115503959074
KAL16-322,QS10-7340,-1.53115503959074
KAL16-322,QS10-7424,2.94072242899137
KAL16-322,QS10-7491,0.257595947842103
KAL16-322,QS10-7499,4.72947341642421
KAL16-322,QS10-7511,-1.53115503959074
KAL16-322,QS10-7513,-1.30756116616164
KAL16-322,QS10-7526,-1.53115503959074
KAL16-322,QS10-7536,-1.53115503959074
KAL16-322,QS10-7561,-1.53115503959074
KAL16-322,QS10-7567,-1.53115503959074
KAL16-322,QS10-7569,-1.53115503959074
KAL16-322,QS10-7627,-1.53115503959074
KAL16-322,QS10-7628,-1.53115503959074
KAL16-322,QS10-7642,-0.860373419303424
KAL16-322,QS10-7644,-1.53115503959074
KAL16-322,QS10-7653,-1.53115503959074
KAL16-322,QS10-7660,-1.30756116616164
KAL16-322,QS10-7678,-0.636779545874319
KAL16-322,QS10-7680,-1.08396729273253
KAL16-322,QS10-7699,-1.53115503959074
KAL16-322,QS10-7701,-1.53115503959074
KAL16-322,QS10-7703,-0.413185672445213
KAL16-322,QS10-7717,-1.30756116616164
KAL16-322,QS10-7742,1.82275306184584
KAL16-322,QS10-7749,-1.53115503959074
KAL16-322,QS10-7769,-1.53115503959074
KAL16-322,QS10-7805,0.704783694700314
KAL16-322,QS10-7839,0.0340020744129976
KAL16-322,QS10-7877,-1.53115503959074
KAL16-322,QS10-7916,-1.53115503959074
KAL16-322,QS10-7917,-0.189591799016108
KAL16-322,QS10-7918,0.257595947842103
KAL16-322,QS10-7953,0.481189821271209
KAL16-322,QS10-7966,-0.860373419303424
KAL16-322,QS10-7972,-0.636779545874319
KAL16-322,QS10-7995,-1.53115503959074
KAL16-322,QS10-8004,-1.53115503959074
KAL16-322,QS10-8025,-0.860373419303424
KAL16-322,QS10-8087,4.95306728985332
KAL16-322,QS10-8107,-1.30756116616164
KAL16-322,QS10-8134,-1.53115503959074
KAL16-322,QS10-8146,-0.413185672445213
KAL16-322,QS10-8186,0.0340020744129976
KAL16-322,QS10-8189,0.92837756812942
KAL16-322,QS10-8191,-0.636779545874319
KAL16-322,QS10-8213,3.83509792270779
KAL16-322,QS10-8221,-1.30756116616164
KAL16-322,QS10-8242,5.62384891014063
KAL16-322,QS10-8249,-1.53115503959074
KAL16-322,QS10-8311,-1.53115503959074
KAL16-322,QS10-8337,-0.860373419303424
KAL16-322,QS10-8340,6.07103665699885
KAL16-322,QS10-8366,-0.636779545874319
KAL16-322,QS10-8372,3.83509792270779
KAL16-322,QS10-8415,-1.53115503959074
KAL16-322,QS10-8422,-1.53115503959074
KAL16-322,QS10-8498,-1.30756116616164
KAL16-322,QS10-8551,-1.61652749908297
KAL16-322,QS10-8577,-1.53115503959074
KAL16-322,QS10-8657,-1.53115503959074
KAL16-322,QS10-8686,1.37556531498763
KAL16-322,QS10-8697,2.94072242899137
KAL16-322,QS10-8718,-0.860373419303424
KAL16-322,QS10-8720,1.59915918841674
KAL16-322,QS10-8748,-0.636779545874319
KAL16-322,QS10-8749,-1.53115503959074
KAL16-322,QS10-8762,-1.53115503959074
KAL16-322,QS10-8770,-1.08396729273253
KAL16-322,QS10-8771,-1.30756116616164
KAL16-322,QS10-8782,-1.53115503959074
KAL16-322,QS10-8788,-1.53115503959074
KAL16-322,QS10-8791,-1.53115503959074
KAL16-322,QS10-8798,5.62384891014063
KAL16-322,QS10-8879,-0.636779545874319
KAL16-322,QS10-8900,2.04634693527495
KAL16-322,QS10-8901,-0.189591799016108
KAL16-322,QS10-8906,-1.08396729273253
KAL16-322,QS10-8942,0.0340020744129976
KAL16-322,QS10-8952,-1.53115503959074
KAL16-322,QS10-8967,5.40025503671153
KAL16-322,QS10-8989,3.16431630242047
KAL16-322,QS10-8998,2.26994080870405
KAL16-322,QS10-9007,-1.53115503959074
KAL16-322,QS10-9032,4.282285669566
KAL16-322,QS10-9057,-1.08396729273253
KAL16-322,QS10-9066,-1.30756116616164
KAL16-322,QS10-9071,-1.08396729273253
KAL16-322,QS10-9083,-1.53115503959074
KAL16-322,QS10-9092,6.51822440385706
KAL16-322,QS10-9094,2.71712855556226
KAL16-322,QS10-9097,-0.860373419303424
KAL16-322,QS10-9157,-1.53115503959074
KAL16-322,QS10-9174,-1.53115503959074
KAL16-322,QS10-9220,-1.53115503959074
KAL16-322,QS10-9243,1.59915918841674
KAL16-322,QS10-9245,-1.53115503959074
KAL16-322,QS10-9248,1.82275306184584
KAL16-322,QS10-9252,-1.53115503959074
KAL16-322,QS10-9282,3.16431630242047
KAL16-322,QS10-9349,-1.30756116616164
KAL16-322,QS10-9351,-1.53115503959074
KAL16-322,QS10-9361,-1.53115503959074
KAL16-322,QS10-9382,-1.53115503959074
KAL16-322,QS10-9385,-1.53115503959074
KAL16-322,QS10-9391,-1.53115503959074
KAL16-322,QS10-9392,-0.636779545874319
KAL16-322,QS10-9481,-1.53115503959074
KAL16-322,QS10-9502,-0.860373419303424
KAL16-322,QS10-9511,-1.30756116616164
KAL16-322,QS10-9530,-0.413185672445213
KAL16-322,QS10-9544,-0.413185672445213
KAL16-322,QS10-9560,-0.636779545874319
